mail runner,  தபாற்காரன், ஓட்டக்காரன், 
relay man,  ஓட்டக்காரன், 
the name of the horse of ri,  ஓரி, 
a chief of the ancient tamil country,  கங்கன், ஓரி, 
colloq wife of the husbands brother,  ஓரி, 
lean object,  ஓரி, 
dark blue colour of the matured honey,  ஓரி, 
that which is strong,  தெருவிசு/ வலிது, ஓரி, 
male emur,  ஓரி, 
sangam philanthrophist,  ஓரி, 
name of horse owned by the tamil chieftain,  ஓரி, 
man of excellence,  ஓரி, 
matured or ripened stage,  ஓரி, 
unmanageable ox,  ஒரிஆ, 
small plant with its lateral petals so close together at the base as to appear like a single undivided petal,  ஓரிதழ்த்தாமரை, 
lonidium suffruticosum,  ஓரிதழ்த்தாமரை, 
emperors of the mountains of cakkaravalam,  ஓரியர், 
super natural beings said to dwell in mountains,  ஓரியர், 
and to possess magical power,  ஓரியர், 
nagas,  ஓரியர்: மோரியர், 
name of a clan among the chera dynasty,  ஓரியர், 
name of clan of the ancient tamil known as,  ஓரியர், 
a species of mallow,  ஓரிலைத்துத்தி, தட்டத்துத்தி/ கண்டுத்துத்தி, 
lida accuminata,  ஓரிலைத்துத்தி, 
cow that has calved but once,  ஓரீற்றா, தலையீற்றுப்பசு, 
period in,  ஓரை, 
concourse of women,  ஓரை, 
womens play,  ஓரை, 
playground for women,  ஓரை, 
a kind of ancient dance wiht hands joined in a circle,  ஓரை, 
the performers singing while dancing,  ஓரை, 
a division of time commencing with the rising of a zodiacal sign,  ஓரை, 
an hour of minutes,  ஓரை, 
a general term used to indicate rice that is mixed up with other edibles such as tamarind,  ஓரை, 
sesamum,  சித்திரான்னம், ஓரை// சித்திரச்சோறு// சாரலம், 
division of time commencing with the rising of zodiacal sign,  ஓரை, 
general term used to indicate rice that is mixed up with other edibles such as tamarind,  ஓரை, 
doll used by girls in their plays,  ஓரைப்பாவை, 
a group of giris at play,  ஓரையாயம், 
altogether by the lump,  ஓரொட்டு, 
on an average,  ஓரொட்டு// சரட்டுமேனிக்கு// சகட்டடியாக, ரமாரமி, 
small caltrope,  நல்லநெருஞ்சில், ஓரொருதாளி, 
musical composition sung to a single beat,  ஓரொற்றுவாரம், 
a variety of varam,  ஓரொற்றுவாரம், 
each one,  தனித்தனி, ஓரொன்று, 
one of each,  ஓரொன்று, 
one at a time,  ஓரொன்று, 
one for each,  ஓரொன்று, 
piercing moving,  ஓல், 
walling,  ஓல், 
to have intercourse,  ஓல், 
harischandra,  ஓலக்கஅரசர், 
nala,  ஓலக்கஅரசர்; நிடதன், 
musugu nda,  ஓலக்கஅரசர், 
sibi,  ஓலக்கஅரசர், 
bharta,  ஓலக்கஅரசர்/ கத்தரிக்காய்த் தொகையல், 
ragu,  ஓலக்கஅரசர், 
yayadi,  ஓலக்கஅரசர், 
bageeratha,  ஓலக்கஅரசர், 
mandatha,  ஓலக்கஅரசர், 
ananga,  ஓலக்கஅரசர், 
