அங்காங்கம்,உபாங்கம்.,18, [ angkāngkam ]
அங்காங்கிபாவசங்கராலங்காரம்,உறுப்புறுப்பிக்கலவையணி.,18, [ angkāngkipāvacangkarālangkāram ]
அங்காடி,கடைவீதி.,18, [ angkāṭi ]
அங்காதிபன்,கன்னன்.,18, [ angkātipaṉ ]
அங்காரதாகினி,"சூட்டடுப்பு, தீச்சட்டி.",18, [ angkāratākiṉi ]
அங்காரபரிபாசிதம்,பொரிக்கறி.,18, [ angkāraparipācitam ]
அங்காரவல்லி,"குறிஞ்சா, சிறுதேக்கு.",18, [ angkāravalli ]
அங்காரன்,அங்காரகன்.,18, [ angkāraṉ ]
அங்காளி,அங்காளம்மை.,18, [ angkāḷi ]
அங்கிகரு,சாதிலிங்கம்.,19, [ angkikaru ]
அங்கிகாரம்,அங்கிகரித்தல்.,19, [ angkikāram ]
அங்கிகை,"இரவிக்கை, கஞ்சுகம்.",19, [ angkikai ]
அங்கிசகன்,சுற்றத்தவன்.,19, [ angkicakaṉ ]
அங்கிஷபாதி,சிறுபுள்ளடி.,19, [ angkiṣapāti ]
அங்கிசிவயோகம்,அஷ்டாங்கமுடையசிவயோகம்.,19, [ angkicivayōkam ]
அங்கிசை,அமிசை.,19, [ angkicai ]
அங்கிஞானம்,அவயவியறிவு.,19, [ angkiñāṉam ]
அங்கிடுதத்தி,"நாடோடி, நிலைகெட்டவன்.",19, [ angkiṭutatti ]
அங்கிடுதுடுப்பன்,நாடோடி.,19, [ angkiṭutuṭuppaṉ ]
அங்கிட்டோமம்,"கோமேதகம், அக்கினிட்டோமம்.",19, [ angkiṭṭōmam ]
அங்கிதாரணை,அங்கினிதாரணம்.,19, [ angkitāraṇai ]
அங்கிரகம்,சரீரநோ.,19, [ angkirakam ]
அங்கிரிநாமகம்,மரமூலம்.,19, [ angkirināmakam ]
அங்கிரிபம்,மரம்.,19, [ angkiripam ]
அங்கிலேசன்,ஒருமுனிவன்.,19, [ angkilēcaṉ ]
அங்கிளி,கற்றாழை.,19, [ angkiḷi ]
அங்கீகரணம்,உடன்பாடு.,19, [ angkīkaraṇam ]
