worship with sacred fire on an altar,  யாகம், 
the seventh arabic month,  ரசப், 
rheumatism due to mercurial poisoning,  ரசப்பிடிப்பு, 
rheumatism due to mercurial poisioning,  ரசப்பிடிப்பு, 
mercurial vapour,  ரசப்புகை, 
blue pill,  ரசமெழுகு, 
pilula hydrargyri,  ரசமெழுகு, 
the organ of taste,  ரசனை, 
arrange ment,  ரசனை, 
an unguent prepared with vitriol of copper,  ரசாஞ்சனம், 
cessation from work,  ரசா, 
a division of the second note of the gamut,  ரஞ்சனி, ரத்திகை, 
one of three kinds of risapam,  ரஞ்சனி, ரத்திகை, 
the ninth arabic month,  ரஞ்சனி, 
accumulation of blood in the testicle,  ரத்தவண்டம், 
haemato cele,  ரத்தவண்டம், 
ruby necklace,  ரத்தினகண்டி, 
abrogation making null and void,  ரத்து, 
retutation,  ரத்து, 
abrogation,  சட்ட நீக்கம்/ வழக்கொழித்தல்/ வழக்கொழித்தல்  நீக்கம், தவிர்த்தல்// சட்டத்திருத்தம், ரத்து// சிதைதல், தவிர்ப்பு, 
making null and void,  ரத்து, 
precious stone see,  ரத்னம், 
coach-builder,  ரதகாரன், 
manmathans wife,  ரதிதேவி, 
car-festival,  ரதோற்சவம், 
one of the wife of,  ராதை, 
an appearance of,  ராமர், 
the allnourishing,  ரப், 
the all nourishing,  ரப், 
the fourth arabic month,  ரப்பிசானி, 
the third arabic month,  ரப்பிலவ்வல், 
ramzan,  ரம்சான், 
the ninth month of the muhammadan year,  ரம்சான், 
each day of which is observed as a fast from dawn till sunset,  ரம்சான், 
festival on the last day of the month of ramzan,  ரம்சான், 
the nineth month of the muhamadan year,  ரம்சான், 
a celestial woman known for her beauty,  ரம்பை, 
a courtesan of the gods,  ரம்பை, 
settlement of land revenue direclty with individuals,  ரயத்வாரி, 
settlement of land revenue directly with individuals,  ரயத்வாரி, 
remission of government claim,  ரயாதி, 
train propelled by steam or electricity,  ரயில், 
a compact set of cooking utensils,  ரயிலடுக்கு, 
used by travellers,  ரயிலடுக்கு, 
a compact set of cooking utensils used by travellers,  ரயிலடுக்கு, 
a ball shaped sweetmeat,  ரவாலாடு, லாடு, 
a kind of confection made of wheat flour,  ரவாலாடு, 
a kind of confection made of wheat-flour,  ரவாலாடு, 
a term meaning month occuring as the second member of compound words,  ரவி, 
the first being the name of the section of the zodiac in which the sun remains during that month,  ரவி, 
tiyacciyam in the night,  ரவி, 
a term meaning month occuring as the second member of comound words the first being the name of the section of the zodiac in which the sun remains during that month,  ரவி, 
close fitting upper garment for women,  ரவிக்கை, 
in India blouse,  ரவிக்கை, 
tight fitting bodice,  ரவிக்கை, 
corset,  ரவிக்கை, 
ravas,  புழக்கலா மீன், ரவை, 
cream of,  ரவை, 
small lead shot used in guns of certain type,  ரவை, 
wheat flour,  கோதுமை மாவு: மைதா மாவு/ கோதுமை ரவை, ரவை, 
colloq diamond,  ரவை, 
small lead shot,  ரவை, 
colloq marble,  ரவை, 
tremolo colloq,  ரவை, 
zodiacal si,  ரா, 
one twelf,  ரா, 
reconcilia,  ரா, 
an ornament worn by women on the crown of the head,  ராக்கடி, 
the network of ascending and descending scale of notes which give or determine the melody,  ராகம், 
musical measure,  ராகம், 
specific melodytypes,  ராகம், 
the principle which excites desire in souls,  ராகம், 
a song where different units are set to different ragas,  ராகமாலிகை, 
series of rakam in which the successive parts of a song are sung,  ராகமாலிகை, 
head ornament worn by womenseries of in which the successive parts of a song or sung,  ராகமாலிகை, 
phoenicopterus,  ராசஅம்சம், 
roseus,  ராசஅம்சம், 
kings share of the produce,  ராசக்காணம், 
sportive play of the royal family in a water pool,  ராசக்கிரீடை, 
a sportive dance of with the,  ராசக்கிரீடை, 
present made by a king,  ராசசம்மானம், 
a title of later cholas,  ராசசேகரி, 
service under a king,  ராசசேவை, 
state service,  ராசசேவை, 
a king name of,  ராசராசநரேந்திரன், 
presidency,  மாகாணம், ராசதானி: மாநிலம், 
assembly of kings,  ராசமண்டலம், 
ministers and chieftains,  ராசமுதலிகள், 
product of terms,  ராசி, 
used in the calculation of interest,  ராசி, 
the passage of a planet through a sign of the zodiac,  ராசிபோகம், 
calculation of the position of a planet in the zodiac,  ராசிமானம், 
time taken for a particular sign of the zodiac to pass the horizon,  ராசிமானம், 
in puranas a male demon,  ராட்சதன், 
country of the,  ராட்டிரகூடம், 
merry go,  ராட்டினம், 
pulley for drawing water,  ராட்டினம், 
reel ginning machine whirligig,  ராட்டினம், 
ambar,  ராட்டை, 
in a gam,  ராணி, 
in chess,  ராணி, 
persons in command of armies,  ராணுவப்பேர், 
mili,  ராணுவம், 
the spring balance,  ராத்தல் தராசு, 
used chiefly in weighing hides,  ராத்தல் தராசு, 
palmyra-fibre,  ராத்தல் தராசு, 
a flowering creeper,  ராதா மனோகரம், 
that which binds one thing with another,  ராப்தா, 
habit custom,  ராப்தா, 
madr mamool,  ராப்தா, 
mamool,  ராப்தா, 
one who goes around singing and begging during the night,  ராப்பாடி, 
who begs his food at night,  ராப்பாடி, 
singing along the streets colloq,  ராப்பாடி, 
singing along the streets,  ராப்பாடி, 
filings,  ராப்பொடி, 
a wandering caste,  லம்பாடி, ராம்பாடி, 
as having a mark resembling vaisnava mark,  ராமக்கோழி, 
punishment awarded by a court of law,  ராசதண்டனை, 
as befitting a king,  ராசதோரணை, 
stately gait,  ராசநடை, 
loyalty to the king,  ராசபக்தி, 
royal edict or grant,  ராசபத்திரம், 
royal share,  ராசபாகம், 
share of produce due as revenue to the government,  ராசபாகம், 
kings highway,  ராசபாட்டை, 
life of great ease and enjoyment,  ராசபோகம், 
most excellent as worthy of the kings regard,  ராசமான்ய, 
royal or majestic look,  ராசவிழி, 
that which is most excellent of its kind,  ராசா, 
a title of honour conferred by the government,  ராசா, 
a sport among children in which the players act the parts of a king,  ராசாமந்திரி, 
his ministers,  ராசாமந்திரி, 
document in writing where by the parties to a suit agree to adjust their differences,  ராசிநாமா, 
a telugu caste,  ராசு, 
great civility,  ராசோபசாரம், 
as be fitting a king,  ராசோபசாரம், 
most beneficient government,  ராமராச்சியம், 
as the rule of,  ராமராச்சியம், 
the epic Ramayana which depicts the story of Rama one of the incarnations of the god Vishnu,  ராமாயணம், 
the epic ramayana,  ராமாயணம், 
the war between rama and ravana,  ராமாயணம், 
the epic,  ராமாயணம், 
the war between and,  ராமாயணம், 
a kind of standard for a light,  ராமானுசம், 
the pedestal of the y mark of the ten kalai vaisnavaites,  ராமானுசம், 
a copper cup,  ராமானுசம், 
the pedestal of the y mark of the ten-kalai,  ராமானுசம், 
a title of honour conferred by the government on indians other than muhammadans,  ராவ்சாகிப், ராவ்பகதூர், ராய்சாகிப், 
pickled in buttermilk,  ராய்த்தா, 
business of a writer,  ராயசம், 
cf rajasa haughtiness,  ராயசம், 
if hangting,  ராயசம், 
measure of capacity to madras measure,  ராயசீமரக்கால், 
title of vijayanagar kings,  ராயர், 
title of certain brahmins,  ராயர், 
title of certain kallar and other castes,  ராயர், 
caesar,  ராயன், 
title of certain castes like madhva brahmins,  ராயன், 
caesan,  ராயன், 
title of certain castes like brahmins,  ராயன், 
title of maharattas,  ராவ், 
madhva brahmins,  ராவ், 
title of maharattas madhva brahmins,  ராவ், 
a title of honour conferred by the government of indians other than muhammadans,  ராவ்சாகிப், 
a mollusc,  ராவணன் விழி, 
shell of a mollusc,  ராவணன் விழி, 
rigging e rigging,  ரிங்கின்கயிறு, 
the holy bul nanti,  ரிசபதேவர், 
a common term for the fourth,  ரித்ததிதி, 
ninth and fourteenth titi of the lunar fortnight,  ரித்ததிதி, 
nineth and fourteenth titi of the lunar fortnight,  ரித்ததிதி, 
abatement of assessment,  ரியாயத், 
usuage,  ரிவாசா, 
humming as of bees,  ரீங்காரம், 
basis of t,  ரீதி, 
reef band,  ரீப்தாங்கல், 
reef-band,  ரீப்தாங்கல், 
long strip or lath of palmyra or other timber,  ரீப்பர், 
money payments received by public officers,  ருசும், 
as perquisites attached to their office,  ருசும், 
payments received by public officers,  ருசும், 
the a class of devotees,  ருத்திரகணப்பெருமக்கள், 
a ceremonial bath in water sanctioned with the recital of,  ருத்திராபிடேகம், 
pestle for grinding flour,  ருப்புலக்கை, 
a head dress,  ருமாலை, 
a round reddish mango fruit,  ருமானி, 
as resembling in colour the pips of pomegranate,  ருமானி, 
a round reddish mango fruit as resembling in colour the pips of pomegranate,  ருமானி, 
term used in its conventional sense,  ரூடி, 
judicial proceeding,  ரூப்காரி, 
in ones presence,  ரூப்ரூப், 
pirakaranam,  ரூபகம், 
pirakacanam,  ரூபகம், 
timan,  ரூபகம், 
viyaykam,  ரூபகம், 
camavakaram,  ரூபகம், 
viti,  ரூபகம்/ வேதவாக்கியசொரூபம், 
ikamirukam,  ரூபகம், 
metapher,  ரூபகம், 
drama of which there are ten species,  ரூபகம், 
figure likeness,  ரூபம், 
unit of currency in India and some other countries,  ரூபாய், 
a current silver coin of gr,  ரூபாய், 
composed of parts pure silver and parts alloy tola in weight,  ரூபாய், 
a special tax on garden lands,  ரூபாவரி, 
demostrate,  ரூபி, 
that which has shape,  ரூபி, 
visible object,  ரூபி, 
well shaped person,  ரூபி, 
demonstrate,  செயல் விளக்கமளி// செய்துகாட்டு, ரூபி// செயல்முறை விளக்கம் அளி, 
well-shaped person,  ரூபி, 
an immigrant caste of telugu cultivators,  ரெட்டி, 
coarse cotton fabric,  ரெட்டு, 
a thin strip of gold,  ரேக்கு, 
foil of metal,  ரேக்கு, 
toil of metal,  ரேக்கு, 
