koel,  களகண்டம்/ குயில், அக்காக்குருவி, புள்ளிக்குயில்;- இரவணம்/ கலககண்டம்/ கோகிலம்;- இந்தியக்குயில்/ கருங்குயில், பூவை/ கோகுலம்/ வலாசகம், பஞ்சது;- இசைப்புள்;- இசைக்குரற்குருவி/ காக்கா குயில், 
eudynamis honorata,  குயில், அக்காக்குருவி, 
as going about crying akka,  அக்காக்குருவி, 
a bird that keeps crying akka,  அக்காக்குருவி, 
eaglewood,  அக்காகலம், அருகம்/ காகதுண்டம், பூழில்/ கயம்// சாகதுண்டம்// சிறிவில், அரக்கம், 
a species of rodents with long bushy tails living in trees and distinguished by their capacity to leap long distances,  அக்காடச்செல்லிகண்டன், 
flying squirrel,  பறவையணில், அக்காடச்செல்லிகண்டன், பறக்கும் அணில், 
petaurista philippensis,  அக்காடச்செல்லிகண்டன், 
a kind of arseaic preparation,  அக்காடிதல், 
a kind of arsenic processed by the chinese,  அக்காடிதல், 
black-seeded dolichos,  அக்காடிப்பயறு, 
lablab vulgaris,  அக்காடிப்பயறு: மொச்சைக்காய், 
an exclamation of grief,  அடடா, அக்காடீ, அம்மனோ, அம்மானையோ, 
